portrait,"first name","last name","master ability","job 1","job 2","job 3",hp,attack,tp,magic,ap,speed,move,dexterity,jump,range,luck,cost,rarity,limited,region,global_release
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/3/34/Unit_lapsszrt.png?version=fbd9de76c27faf2a2029a1e05758ab87,Schuzelt,NULL,"Dexterity + 15%, Critical Rate + 35",Soldier,Knight,Hunter,1449,231,108,60,100,50,3,144,1,1,142,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/4/4b/Unit_lapsmgrt.png?version=f6f8ad3f44869756a3702ec429a24a8a,Margritte,NULL,"Max TP + 15%, Magic Attack + 30",Soldier,Knight,Hunter,1335,64,145,160,136,47,3,150,1,1,134,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/c/ca/Unit_lapsmrlk.png?version=673474f115c64aca8aa6c13565b56869,Meriluke,NULL,"Critical Damage + 40%, Agility + 10%",Monk,Knight,"Green Mage",1920,192,110,59,104,52,3,127,2,1,144,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/d/d1/Unit_lapsfina.png?version=a676c68e4bb9f9da290cf1a4262e7b96,Fina,NULL,"Dexterity + 15%, Magic Attack Resistance + 25","White Mage of Lapis",Gunner,Cleric,1359,70,139,161,130,57,3,107,1,3,115,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/6/66/Unit_lapsnasr.png?version=07cf600aa834fc21fc3eec2250805fd0,Nasha,NULL,"Max HP + 25%",Paladin,"White Mage",Dragoon,2202,164,117,59,104,45,3,111,1,1,134,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/3/3f/Unit_lapssdlx.png?version=054d6a9272a221e514e5c803792b6c5f,Shadowlynx,NULL,"Attack + 25%, Evade + 15",Ninja,Dragoon,Samurai,1449,210,91,45,85,59,4,144,3,1,142,60,MR,no,Both,2020-04-01
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/0/05/Unit_lapsadld.png?version=1c7f4b307190b909cafafde40f666890,Adelard,NULL,"Magic + 25%, Dexterity + 10%","Red Mage","Green Mage","White Mage",1562,140,169,191,132,54,3,133,2,1,119,60,MR,no,Both,2020-06-03
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/4/41/Unit_lapsdrnd.png?version=6fde6892af3763a63f0a95fa6d3e5f59,Dorando,NULL,"Max HP + 25%, Critical Rate + 15",Viking,Monk,Gunner,1784,185,105,51,97,47,3,149,1,1,114,50,MR,no,Both,2020-05-20
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/1/11/Unit_lapsthla.png?version=b50a8bdc3a668d3c4da32655e0bc57c0,Salire,NULL,"Magic + 20%, Magic Attack + 15","Black Mage","White Mage",Ninja,1504,64,127,245,140,54,3,160,1,1,146,65,MR,no,Both,2020-06-17
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/2/25/Unit_lapslils.png?version=3fce6867417b2d01d875c24e8b7863dd,Lilyth,NULL,"Max HP + 30%",Knight,Soldier,Hunter,1808,200,108,55,100,48,3,144,1,1,160,60,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/8/89/Unit_lapsdrio.png?version=2855a64cced206c530e7e137c0a0d741,Dario,Hourne,"Defense + 10, Spirit + 10","Rune Knight",Ninja,Paladin,2325,105,96,158,97,47,3,140,1,1,139,60,MR,no,Both,2020-07-15
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/1/1b/Unit_lapskadi.png?version=b262227fec47e95b3d003f77d31a7d13,Cadia,NULL,"Max TP + 40%, MAG + 15%",Cleric,"White Mage","Rune Knight",1421,63,146,194,127,48,3,132,1,1,121,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/7/7a/Unit_lapsvstr.png?version=327453fb8298f428837abfa017e9f6ff,Vistralle,NULL,"Resistance to Magic Attack + 15, Evasion + 15",Thief,"Red Mage",Soldier,1174,188,99,66,94,53,3,140,3,1,153,50,MR,no,Both,2020-03-25
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/f/fd/Unit_lapstrel.png?version=580448fea92f52aa1322fa9a0f286b71,Tyrell,NULL,"Max HP + 20%, Slash Attack + 10",Knight,Viking,Lancer,1621,195,108,49,100,49,3,125,1,1,122,50,MR,no,Both,2020-07-15
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/rk5i2zrw/409ab33ebeb8270244e0508cde8a23dbc6b56962_l.jpg,Roleyla,NULL,"Critical Hit Rate + 50",Ranger,Viking,Knight,1359,191,108,54,100,52,3,177,2,3,117,60,MR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/ng4iuhvt/3ca3771022803745adb3c9c3760306066ec10f7a_l.jpg,Mariel,NULL,"Hate + 5, Area of Effect Resistance + 15",Spellblade,Arithmetician,Thief,2420,79,111,204,96,49,3,137,1,1,154,60,MR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/7rp6fqva/d7802b70a74334b92b0a020c30e98a7abd24159b_l.jpg,Titus,NULL,"Pierce/Missile Resistance + 10, AP Consumption - 25%",Paladin,"Red Mage",Viking,2382,163,107,61,100,48,3,133,1,1,123,60,MR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/hdkvbvr9/4c9f76f89f680f25464efb5e5d471b6f58c51722_l.jpg,Seymour,NULL,"Attack + 10%, Accuracy + 30",Samurai,Viking,Thief,1502,229,93,51,88,54,3,140,1,1,134,50,MR,no,Both,2020-03-25
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/mbjc2xh8/3638df6720e920cd507a7e4ef134d9a52103f645_l.jpg,Lavies,NULL,"Evade + 10, Consumed AP - 20%",Paladin,Thief,Samurai,2259,169,91,51,97,43,3,137,1,1,146,60,MR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/e1ib4nhb/33a567062e064516147137930515a43b43149d54_l.jpg,Mustadio,Bunanza,"Accuracy + 30, Blind/Immobilize/Disabled Rate Up",Machinist,Ranger,Thief,1368,175,101,58,108,59,3,163,1,4,135,60,MR,yes,JP,NULL
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/a/a8/Unit_lapsetre.png?version=42adf2f4393fc53598786088acdb13a9,Etre,NULL,"Move + 1, Jump + 1, Evasion + 10",Monk,Cleric,Knight,1698,158,110,59,104,52,3,124,2,1,125,50,MR,no,Both,2020-04-15
