portrait,"first name","last name","master ability","job 1","job 2","job 3",hp,attack,tp,magic,ap,speed,move,dexterity,jump,range,luck,cost,rarity,limited,region,global_release
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/czakyg36/6588f0c18310621db6a0a8f9287d38442aecf9c4_l.jpg,"Warrior Of Light",NULL,"Attack + 20%, Defense + 5","Warrior of Light",Spellblade,Dragoon,2952,233,126,70,115,52,3,137,1,1,157,80,UR,yes,Both,2020-07-29
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/4icb864b/369e6c8fb89a9793221a0a9107fbf08c06151414_l.jpg,Kilfe,NULL,"HP + 20%, Cast Time Reduced - 20%","Rod Wielder",Spellblade,"White Mage",2140,69,147,259,142,58,3,164,1,1,140,80,UR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/v9p0iqdk/ec454c4f772c287f624c4f222d293011d4876ac2_l.jpg,Oldoa,NULL,"Acquired AP + 30%, Physical Resistance + 5",Soldier,Viking,Assassin,1661,297,130,69,123,59,3,153,1,1,143,80,UR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/481x6me1/cdb8b9c206f186e57d0c92f6a2dc046d3d775b39_l.jpg,Agrias,Oaks,"Single Target Attack Resistance + 15","Holy Knight",Paladin,Cleric,2934,234,142,70,134,53,3,176,1,1,165,80,UR,yes,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/4aiqsyr2/49eba0628ee8f138f0296e01247237767e83f72c_l.jpg,Delita,Heiral,"Attack + 20%",Squire,Soldier,Paladin,2160,250,130,182,123,57,3,152,1,1,173,80,UR,yes,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/2bv2qukb/61e26a6a620244526f3cfb9c4d8990c58dc99ec7_l.jpg,Irdilla,NULL,"Spirit + 5, Area Attack Resistance + 10",Arithmetician,Spellblade,"Black Mage",2090,64,172,237,158,55,3,194,1,1,129,80,UR,yes,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/bymyw6jq/4b43d2dfd4d46b3bc799612dc45ddcc6bd1dc7f0_l.jpg,Sterne,"Knight Of Destruction","Defense Pierce + 20, Slash Attack + 10","Knight of Destruction",Samurai,Assassin,2336,299,126,262,120,56,3,128,1,1,168,100,UR,no,JP,NULL
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/d/de/Unit_lapsvnla.png?version=22f2ea09b99a3a9fcbc54fe0646640ab,Vinera,Fennes,"Attack + 10%, Evasion + 10",Assassin,Thief,"Double Gunner",2063,259,117,67,110,59,4,170,2,1,174,80,UR,no,Both,2020-07-15
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/9306al5c/550341a8a81d7a417acabad4f9f16793436c1bac_l.jpg,Lasswell,NULL,"Slash Attack + 5, Accuracy + 15","Knight of Grandshelt",Samurai,Dragoon,2255,287,130,56,123,56,3,150,1,1,169,80,UR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/ed18c3x0/9aea69c1ca533658147654a351b61849297a81a1_l.jpg,Glaciela,Wezette,"Attack + 20%、Slash Attack Resistance + 10",Valkyrie,Monk,Ninja,2505,282,130,69,115,56,3,142,1,2,154,80,UR,no,JP,NULL
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/y0277br7/fad00eb7ca89d34c690403782834c65168cd9b60_l.jpg,Scar,NULL,"Magic + 20%, Cast Time - 20%","Black Mage","Rod Wielder","Time Mage",2002,72,168,257,167,53,3,168,1,1,139,80,UR,no,JP,NULL
https://gamepedia.cursecdn.com/warofthevisions_gamepedia_en/d/d4/Unit_lapsfrva.png?version=ec56a4ee879d131ebafadcaa0a9cce94,Fryevia,NULL,"HP + 10%, Magic Attack Resistance + 10%",Spellblade,"Green Mage","White Mage",2930,94,169,225,142,52,3,134,1,1,158,80,UR,yes,Global,2020-07-01
http://wotvffbe.gamea.co/file/imgbank/fm874m0k/l4i21zgq/cf8f840a2d3ed9168d75f72c4cfc381fa38fe962_l.jpg,Luasa,NULL,"Attack + 10%, Ice Killer + 15%","Dual Gunner",Gunner,Soldier,1751,282,135,75,127,59,3,193,1,4,136,80,UR,no,JP,NULL
